band_1,band_2,band_3,band_4,x,y,z
1206.0,1343.0,1030.0,257.0,673446.11,9371315.356,-1.014126
1022.0,1103.0,802.0,235.0,673354.59,9371240.476,-0.740809
1050.0,1068.0,761.0,238.0,673350.092,9371236.941,-0.760809
1277.0,1374.0,955.0,219.0,673287.008,9371257.165,-0.783955
1334.0,1457.0,1056.0,236.0,673308.613,9371350.004,-0.703054
1064.0,1000.0,493.0,169.0,673406.445,9371420.358,-2.193054
1403.0,1563.0,1301.0,386.0,673474.394,9371342.575,-0.747422
867.0,648.0,299.0,185.0,673066.583,9371141.392,-7.8736
1198.0,1143.0,459.0,176.0,673169.403,9371283.042,-2.639245
1321.0,1292.0,662.0,186.0,673326.985,9371219.958,-1.450809
1059.0,1066.0,549.0,178.0,673199.294,9371268.103,-1.187357
1059.0,1088.0,628.0,188.0,673152.971,9371207.724,-1.0536
1137.0,996.0,400.0,183.0,673329.476,9371171.278,-2.777357
1329.0,1475.0,1066.0,240.0,673296.473,9371318.977,-1.086773
1286.0,1407.0,921.0,208.0,673264.502,9371296.462,-0.786773
1226.0,1320.0,877.0,205.0,673261.868,9371221.518,-1.017357
1108.0,1077.0,597.0,186.0,673385.645,9371437.868,-1.786161
896.0,721.0,326.0,189.0,673167.156,9371095.844,-4.747473
994.0,882.0,495.0,187.0,673127.71,9371068.214,-2.170746
906.0,764.0,360.0,190.0,673032.005,9371094.081,-3.140406
896.0,721.0,326.0,189.0,673162.246,9371092.205,-5.240534
1059.0,1088.0,628.0,188.0,673152.874,9371206.455,-1.0036
1224.0,1319.0,906.0,225.0,673244.041,9371234.795,-0.717357
1263.0,1388.0,1053.0,260.0,673433.403,9371322.679,-1.057422
1246.0,1388.0,1032.0,253.0,673421.207,9371304.343,-0.740809
935.0,737.0,324.0,183.0,673264.908,9371124.632,-4.660746
1305.0,1443.0,1073.0,247.0,673381.449,9371260.402,-0.720809
976.0,1043.0,797.0,258.0,673410.498,9371296.672,-1.064126
1403.0,1563.0,1301.0,386.0,673475.59,9371340.817,-0.797422
894.0,666.0,339.0,191.0,673091.563,9371154.556,-7.1236
973.0,929.0,576.0,209.0,673025.93,9371060.875,-1.912304
1151.0,1071.0,447.0,176.0,673162.861,9371277.461,-2.739245
1184.0,1138.0,460.0,185.0,673154.057,9371270.045,-2.629245
1173.0,1242.0,827.0,199.0,673235.834,9371214.013,-0.903955
935.0,884.0,541.0,189.0,673272.416,9371178.728,-1.047473
928.0,808.0,368.0,188.0,673137.147,9371070.008,-3.034119
759.0,538.0,310.0,203.0,673080.316,9371048.157,-10.654119
847.0,744.0,422.0,204.0,673063.359,9371065.48,-2.747191
981.0,860.0,375.0,189.0,673023.129,9371095.068,-3.672304
1545.0,1728.0,1462.0,454.0,673480.047,9371362.858,-0.650699
883.0,679.0,314.0,184.0,673127.909,9371122.344,-6.247191
1151.0,1109.0,485.0,182.0,673143.082,9371231.602,-2.123953
876.0,799.0,480.0,182.0,673268.011,9371175.961,-1.167473
863.0,752.0,432.0,179.0,673154.92,9371147.19,-1.640534
966.0,788.0,322.0,174.0,673214.461,9371134.891,-5.117473
1029.0,869.0,337.0,172.0,673326.713,9371149.357,-4.367357
928.0,808.0,368.0,188.0,673131.96,9371070.088,-2.940746
1227.0,1191.0,536.0,190.0,673134.529,9371289.986,-1.943953
970.0,950.0,546.0,197.0,673120.298,9371053.814,-1.084119
1545.0,1728.0,1462.0,454.0,673480.865,9371365.846,-0.630699
1389.0,1554.0,1207.0,306.0,673478.034,9371372.971,-0.780699
906.0,764.0,360.0,190.0,673032.643,9371093.368,-3.810406
1122.0,1189.0,793.0,214.0,673345.739,9371435.985,-0.806161
1206.0,1343.0,1030.0,257.0,673447.316,9371319.13,-1.104126
1077.0,976.0,391.0,180.0,673202.169,9371310.464,-3.319245
976.0,1043.0,797.0,258.0,673419.886,9371296.272,-1.174126
1205.0,1119.0,464.0,195.0,673178.28,9371290.39,-2.599245
1116.0,1109.0,606.0,172.0,673197.709,9371255.988,-0.856773
990.0,810.0,346.0,195.0,673004.025,9371144.299,-5.292304
1070.0,1184.0,913.0,269.0,673414.657,9371304.436,-0.680809
883.0,814.0,446.0,208.0,673057.848,9371062.827,-1.990406
740.0,507.0,309.0,189.0,673084.47,9371024.937,-10.064119
1156.0,1208.0,841.0,225.0,673256.245,9371231.907,-0.893955
898.0,695.0,326.0,200.0,673100.019,9371160.369,-6.7836
901.0,715.0,313.0,190.0,673047.017,9371180.358,-7.039245
1080.0,1053.0,502.0,186.0,673124.245,9371245.163,-2.019245
934.0,728.0,338.0,201.0,673060.099,9371191.152,-6.909245
1123.0,1109.0,540.0,174.0,673186.058,9371247.782,-1.406773
1044.0,863.0,342.0,190.0,673314.908,9371144.878,-4.547357
1206.0,1343.0,1030.0,257.0,673446.413,9371319.183,-1.024126
915.0,812.0,425.0,209.0,673078.334,9371078.587,-0.997191
1263.0,1388.0,1053.0,260.0,673438.275,9371321.878,-0.667422
850.0,688.0,338.0,182.0,673275.919,9371129.279,-1.560746
966.0,788.0,322.0,174.0,673215.069,9371135.402,-5.107473
976.0,1043.0,797.0,258.0,673410.461,9371298.966,-0.700809
1070.0,1184.0,913.0,269.0,673410.188,9371301.241,-0.680809
1096.0,1088.0,575.0,177.0,673405.405,9371415.39,-1.803054
906.0,764.0,360.0,190.0,673033.279,9371092.662,-3.820406
847.0,744.0,422.0,204.0,673063.546,9371063.043,-2.650406
941.0,753.0,333.0,197.0,673082.512,9371209.918,-5.529245
746.0,564.0,317.0,200.0,673067.101,9371042.455,-11.114119
880.0,774.0,432.0,189.0,673042.933,9371080.745,-1.110406
1212.0,1245.0,792.0,192.0,673238.597,9371280.137,-1.466773
1116.0,1109.0,606.0,172.0,673197.029,9371255.465,-1.006773
1321.0,1292.0,662.0,186.0,673326.359,9371219.493,-1.397473
1255.0,1373.0,1011.0,239.0,673374.474,9371255.476,-0.730809
1118.0,1128.0,575.0,183.0,673261.345,9371360.144,-2.056161
1032.0,948.0,477.0,179.0,673113.324,9371235.906,-1.629245
883.0,814.0,446.0,208.0,673056.685,9371064.101,-1.490406
1206.0,1343.0,1030.0,257.0,673445.658,9371315.009,-1.044126
1248.0,1161.0,478.0,178.0,673131.556,9371251.063,-2.389245
1096.0,1088.0,575.0,177.0,673406.403,9371416.676,-2.093054
1189.0,1275.0,810.0,189.0,673224.196,9371275.105,-1.686773
1358.0,1498.0,1067.0,253.0,673308.577,9371349.843,-0.693054
1345.0,1499.0,1120.0,271.0,673319.805,9371353.337,-0.933054
1193.0,1149.0,507.0,185.0,673136.356,9371278.391,-2.353953
863.0,752.0,432.0,179.0,673153.691,9371143.966,-1.367191
1009.0,804.0,341.0,194.0,673001.223,9371130.075,-4.912304
1084.0,1113.0,787.0,222.0,673339.964,9371432.139,-0.806161
1373.0,1521.0,1120.0,271.0,673309.724,9371331.416,-0.909925
1193.0,1149.0,507.0,185.0,673136.724,9371275.874,-2.293953
879.0,712.0,321.0,188.0,673131.494,9371125.382,-6.067191
879.0,712.0,321.0,188.0,673130.679,9371124.699,-6.177191
1212.0,1169.0,484.0,182.0,673161.353,9371296.386,-2.363953
1116.0,1109.0,606.0,172.0,673192.005,9371251.821,-1.086773
1122.0,1189.0,793.0,214.0,673344.02,9371434.82,-0.766161
850.0,688.0,338.0,182.0,673277.426,9371129.897,-2.520746
1017.0,1021.0,627.0,197.0,673025.82,9371071.871,-1.222304
872.0,689.0,309.0,189.0,673092.562,9371091.51,-4.547191
1227.0,1191.0,536.0,190.0,673135.17,9371285.77,-2.113953
1181.0,1305.0,971.0,246.0,673411.279,9371359.589,-1.150699
1338.0,1469.0,1151.0,284.0,673445.742,9371330.006,-0.644126
1358.0,1498.0,1067.0,253.0,673308.395,9371349.587,-0.703054
994.0,882.0,495.0,187.0,673120.208,9371065.13,-1.440746
910.0,703.0,322.0,192.0,673055.72,9371187.498,-6.929245
1123.0,1109.0,540.0,174.0,673185.3,9371247.847,-1.446773
990.0,810.0,346.0,195.0,673000.32,9371141.719,-5.072304
1194.0,1129.0,447.0,176.0,673309.801,9371185.847,-2.967357
1277.0,1401.0,1014.0,241.0,673420.851,9371366.515,-1.120699
1124.0,1162.0,721.0,194.0,673221.797,9371202.27,-1.167191
1321.0,1492.0,1165.0,286.0,673356.897,9371314.106,-1.073955
1152.0,1094.0,457.0,189.0,673189.48,9371275.353,-1.797357
904.0,871.0,512.0,194.0,673152.352,9371166.336,-1.133953
935.0,737.0,324.0,183.0,673268.509,9371126.172,-4.640746
1278.0,1440.0,1112.0,264.0,673448.514,9371323.555,-0.994126
899.0,769.0,382.0,194.0,673132.496,9371181.834,-2.1836
1174.0,1088.0,441.0,177.0,673311.156,9371184.825,-2.957357
1070.0,1184.0,913.0,269.0,673414.402,9371304.213,-0.720809
1041.0,986.0,473.0,185.0,673203.24,9371186.386,-2.857191
1225.0,1306.0,834.0,203.0,673438.618,9371380.048,-0.810699
1108.0,1077.0,597.0,186.0,673386.321,9371437.302,-1.836161
1224.0,1319.0,906.0,225.0,673245.299,9371233.885,-0.817357
1116.0,1109.0,606.0,172.0,673198.997,9371257.056,-1.026773
857.0,746.0,381.0,189.0,673192.549,9371116.725,-2.177473
1174.0,1088.0,441.0,177.0,673312.499,9371183.837,-2.707357
1070.0,1184.0,913.0,269.0,673416.869,9371305.518,-0.720809
882.0,863.0,546.0,187.0,673166.701,9371155.086,-1.127191
889.0,683.0,321.0,188.0,673031.967,9371167.617,-6.932304
1338.0,1469.0,1151.0,284.0,673444.086,9371330.281,-0.644126
746.0,564.0,317.0,200.0,673069.418,9371043.613,-11.334119
1185.0,1259.0,859.0,206.0,673237.165,9371279.77,-1.676773
1256.0,1401.0,1022.0,225.0,673302.71,9371270.093,-0.693955
1270.0,1375.0,929.0,213.0,673272.505,9371245.276,-0.893955
847.0,744.0,422.0,204.0,673064.027,9371063.442,-3.180406
1185.0,1259.0,859.0,206.0,673233.932,9371278.09,-1.416773
1212.0,1169.0,484.0,182.0,673167.787,9371291.561,-2.633953
883.0,679.0,314.0,184.0,673127.284,9371121.795,-6.327191
1164.0,1199.0,715.0,190.0,673218.282,9371271.41,-1.636773
935.0,737.0,324.0,183.0,673269.952,9371126.792,-4.280746
1163.0,1206.0,736.0,197.0,673271.556,9371214.372,-1.157357
1223.0,1297.0,870.0,212.0,673286.604,9371381.338,-0.796161
852.0,694.0,333.0,184.0,673157.415,9371128.802,-4.470534
1252.0,1213.0,514.0,176.0,673300.322,9371199.892,-2.047473
1237.0,1352.0,1015.0,263.0,673350.406,9371369.616,-0.723054
899.0,769.0,382.0,194.0,673137.632,9371185.375,-1.8636
1188.0,1230.0,727.0,187.0,673360.91,9371445.696,-1.096161
1188.0,1213.0,635.0,189.0,673373.868,9371447.957,-1.956161
1064.0,1000.0,493.0,169.0,673400.87,9371425.1,-2.183054
904.0,902.0,472.0,185.0,673149.313,9371187.066,-1.103953
1042.0,871.0,330.0,174.0,673301.713,9371139.631,-4.680746
934.0,763.0,344.0,190.0,673088.405,9371215.024,-5.089245
1344.0,1517.0,1181.0,279.0,673450.842,9371323.504,-0.964126
981.0,860.0,375.0,189.0,673029.387,9371098.497,-4.240406
995.0,1052.0,747.0,224.0,673371.311,9371387.064,-0.743054
1015.0,1016.0,552.0,199.0,673027.6,9371081.194,-0.892304
1286.0,1260.0,551.0,171.0,673291.678,9371193.691,-2.137473
899.0,769.0,382.0,194.0,673133.453,9371182.508,-2.3636
853.0,676.0,331.0,194.0,673042.512,9371119.159,-6.750406
1206.0,1343.0,1030.0,257.0,673445.209,9371314.648,-1.034126
1278.0,1440.0,1112.0,264.0,673448.642,9371329.454,-0.624126
1345.0,1499.0,1120.0,271.0,673312.536,9371351.801,-1.063054
889.0,683.0,321.0,188.0,673030.814,9371166.606,-7.042304
919.0,754.0,337.0,187.0,673156.881,9371080.396,-2.380746
1369.0,1551.0,1262.0,359.0,673463.113,9371340.473,-0.877422
1286.0,1260.0,551.0,171.0,673293.262,9371198.264,-2.067357
1194.0,1314.0,996.0,251.0,673435.842,9371307.891,-1.134126
1239.0,1204.0,540.0,188.0,673156.166,9371300.231,-2.143953
1426.0,1604.0,1309.0,373.0,673473.516,9371366.294,-0.830699
1278.0,1440.0,1112.0,264.0,673445.995,9371326.142,-0.627422
1358.0,1498.0,1067.0,253.0,673307.677,9371349.136,-0.273054
869.0,678.0,323.0,181.0,673037.659,9371172.512,-7.072304
857.0,746.0,381.0,189.0,673191.981,9371116.233,-2.367473
1189.0,1275.0,810.0,189.0,673225.942,9371276.33,-1.476773
1241.0,1224.0,603.0,180.0,673289.74,9371192.199,-2.317473
919.0,754.0,337.0,187.0,673150.585,9371081.027,-3.957473
1294.0,1428.0,1052.0,254.0,673324.629,9371287.907,-0.653955
1545.0,1728.0,1462.0,454.0,673480.522,9371368.618,-0.810699
1426.0,1604.0,1309.0,373.0,673475.408,9371368.039,-0.600699
1318.0,1475.0,1032.0,227.0,673282.456,9371308.714,-1.236773
981.0,860.0,375.0,189.0,673020.743,9371099.112,-4.112304
879.0,718.0,366.0,189.0,673186.449,9371092.555,-2.270746
860.0,716.0,340.0,180.0,673160.612,9371081.814,-2.560746
863.0,752.0,432.0,179.0,673154.458,9371144.601,-1.867191
1048.0,883.0,355.0,191.0,672997.8,9371136.125,-4.832304
1270.0,1375.0,929.0,213.0,673275.004,9371247.411,-0.903955
1380.0,1527.0,1125.0,250.0,673463.034,9371373.27,-0.660699
995.0,1052.0,747.0,224.0,673372.587,9371388.195,-0.693054
1230.0,1310.0,827.0,201.0,673252.946,9371290.165,-0.816773
1201.0,1132.0,450.0,185.0,673171.899,9371285.02,-2.729245
1344.0,1517.0,1181.0,279.0,673450.076,9371329.238,-0.654126
1173.0,1242.0,827.0,199.0,673235.086,9371213.417,-0.913955
1220.0,1215.0,571.0,194.0,673146.235,9371307.56,-1.833953
863.0,644.0,311.0,188.0,673052.71,9371129.281,-5.8936
847.0,744.0,422.0,204.0,673067.142,9371069.01,-2.477191
740.0,507.0,309.0,189.0,673087.495,9371021.874,-10.964119
740.0,507.0,309.0,189.0,673085.859,9371023.334,-10.384119
886.0,670.0,324.0,182.0,673044.303,9371177.966,-7.219245
1241.0,1224.0,603.0,180.0,673289.183,9371191.753,-2.207473
725.0,520.0,296.0,200.0,673092.281,9371021.078,-8.904119
1007.0,875.0,361.0,199.0,673018.377,9371102.876,-4.202304
1219.0,1354.0,964.0,224.0,673293.536,9371262.471,-0.763955
977.0,907.0,417.0,171.0,673191.376,9371301.421,-2.499245
979.0,817.0,337.0,182.0,673246.456,9371159.991,-4.467473
1212.0,1169.0,484.0,182.0,673160.689,9371296.846,-2.273953
928.0,808.0,368.0,188.0,673133.459,9371070.669,-3.100746
1041.0,876.0,347.0,187.0,673330.657,9371150.878,-4.277357000000001
973.0,929.0,576.0,209.0,673025.012,9371067.513,-1.462304
904.0,871.0,512.0,194.0,673152.706,9371163.802,-1.080534
880.0,774.0,432.0,189.0,673040.5,9371083.927,-1.950406
891.0,922.0,702.0,239.0,673414.41,9371285.042,-0.660809
1070.0,1184.0,913.0,269.0,673416.631,9371305.396,-0.690809
1034.0,1006.0,602.0,178.0,673175.811,9371162.918,-1.927191
1124.0,1194.0,788.0,206.0,673351.108,9371439.52,-0.886161
1246.0,1388.0,1032.0,253.0,673426.209,9371301.007,-1.184126
1257.0,1337.0,927.0,204.0,673239.362,9371238.244,-0.817357
960.0,833.0,365.0,182.0,673259.351,9371169.689,-1.567473
1278.0,1440.0,1112.0,264.0,673445.512,9371326.124,-0.637422
1189.0,1275.0,810.0,189.0,673229.64,9371278.495,-0.906773
1050.0,1068.0,761.0,238.0,673352.729,9371239.019,-0.700809
891.0,922.0,702.0,239.0,673411.466,9371282.846,-0.650809
1052.0,1096.0,704.0,191.0,673200.276,9371258.04,-0.846773
1230.0,1310.0,827.0,201.0,673258.42,9371294.513,-0.866773
1358.0,1498.0,1067.0,253.0,673308.217,9371349.173,-0.703054
1133.0,1242.0,931.0,243.0,673424.205,9371297.654,-0.730809
987.0,936.0,456.0,196.0,673134.787,9371067.877,-1.544119
1344.0,1517.0,1181.0,279.0,673451.093,9371323.53,-1.014126
1266.0,1441.0,1127.0,318.0,673383.696,9371337.763,-0.973955
1303.0,1411.0,935.0,217.0,673276.605,9371304.999,-1.336773
1025.0,1068.0,784.0,231.0,673333.223,9371423.193,-1.426161
1369.0,1551.0,1262.0,359.0,673465.87,9371345.08,-0.927422
1014.0,847.0,350.0,197.0,673005.507,9371123.126,-4.842304
1230.0,1360.0,993.0,256.0,673317.289,9371410.33,-1.106161
847.0,744.0,422.0,204.0,673062.26,9371064.521,-2.777191
1256.0,1401.0,1022.0,225.0,673306.172,9371273.107,-0.703955
1263.0,1388.0,1053.0,260.0,673431.374,9371327.346,-1.064126
844.0,747.0,390.0,202.0,673178.739,9371089.428,-2.290746
889.0,814.0,466.0,192.0,673037.89,9371087.153,-2.750406
755.0,528.0,305.0,196.0,673064.157,9371038.101,-11.124119
869.0,829.0,478.0,197.0,673108.486,9371060.277,-1.560746
883.0,814.0,446.0,208.0,673058.748,9371062.387,-2.150406
943.0,755.0,330.0,195.0,673024.504,9371161.423,-6.532304
863.0,752.0,432.0,179.0,673158.076,9371147.678,-1.467191
962.0,923.0,541.0,215.0,673117.82,9371064.186,-1.300746
929.0,742.0,330.0,175.0,673243.938,9371116.278,-5.670746
862.0,797.0,482.0,190.0,673154.457,9371150.488,-1.230534
1302.0,1420.0,1079.0,269.0,673430.349,9371330.43,-1.124126
886.0,670.0,324.0,182.0,673045.899,9371179.469,-7.119245
955.0,798.0,328.0,177.0,673222.243,9371140.273,-5.397473
869.0,783.0,410.0,200.0,673192.088,9371094.822,-2.120746
934.0,728.0,338.0,201.0,673068.493,9371198.403,-6.279245
905.0,817.0,461.0,203.0,673227.575,9371109.699,-2.680746
1007.0,858.0,342.0,188.0,673029.255,9371100.238,-3.880406
725.0,520.0,296.0,200.0,673092.741,9371023.988,-9.714119
950.0,939.0,517.0,189.0,673148.058,9371196.085,-0.853953
1263.0,1388.0,1053.0,260.0,673432.4,9371320.681,-1.127422
1188.0,1213.0,635.0,189.0,673375.627,9371446.324,-1.846161
1246.0,1388.0,1032.0,253.0,673420.189,9371301.57,-0.730809
952.0,745.0,318.0,190.0,673253.603,9371120.197,-5.630746
1173.0,1242.0,827.0,199.0,673232.203,9371211.026,-0.993955
1145.0,1123.0,595.0,185.0,673397.21,9371428.211,-2.143054
1270.0,1375.0,929.0,213.0,673275.737,9371248.012,-0.853955
871.0,794.0,463.0,217.0,673119.215,9371052.877,-0.914119
992.0,840.0,355.0,181.0,673145.853,9371075.864,-3.560746
1050.0,1089.0,806.0,223.0,673366.223,9371382.915,-0.753054
1074.0,1045.0,511.0,183.0,673143.708,9371227.243,-1.873953
1230.0,1310.0,827.0,201.0,673254.345,9371291.38,-0.836773
1231.0,1321.0,852.0,202.0,673282.296,9371377.702,-0.836161
1545.0,1728.0,1462.0,454.0,673480.271,9371362.858,-0.630699
1234.0,1229.0,646.0,196.0,673136.469,9371315.158,-1.563953
1345.0,1499.0,1120.0,271.0,673310.119,9371350.256,-1.083054
1206.0,1343.0,1030.0,257.0,673449.52,9371319.771,-1.004126
1053.0,960.0,394.0,190.0,673230.673,9371334.352,-3.266161
1025.0,1068.0,784.0,231.0,673337.331,9371426.697,-0.846161
870.0,775.0,471.0,199.0,673213.254,9371103.369,-1.280746
824.0,715.0,380.0,217.0,673070.794,9371069.84,-1.970406
1255.0,1373.0,1011.0,239.0,673376.415,9371256.807,-0.690809
1059.0,1088.0,628.0,188.0,673152.241,9371203.71,-1.0436
968.0,764.0,327.0,198.0,673070.734,9371200.298,-6.109245
998.0,1019.0,700.0,219.0,673384.563,9371398.438,-0.853054
854.0,645.0,314.0,193.0,673054.896,9371131.712,-7.4336
1034.0,1006.0,602.0,178.0,673177.299,9371164.15,-2.027191
774.0,669.0,369.0,201.0,673106.179,9371059.226,-1.770746
750.0,521.0,293.0,192.0,673099.261,9371032.958,-10.314119
868.0,752.0,353.0,177.0,673204.687,9371126.641,-3.977473
755.0,528.0,305.0,196.0,673064.289,9371037.947,-11.034119
1053.0,960.0,394.0,190.0,673236.158,9371339.041,-3.286161
1277.0,1401.0,1014.0,241.0,673423.725,9371368.605,-1.290699
1545.0,1728.0,1462.0,454.0,673480.341,9371369.201,-0.890699
860.0,653.0,309.0,191.0,673075.584,9371144.308,-7.9036
1384.0,1541.0,1298.0,381.0,673478.226,9371338.941,-0.897422
915.0,812.0,425.0,209.0,673076.475,9371076.866,-1.197191
1059.0,1131.0,762.0,202.0,673213.034,9371257.835,-0.777357
1223.0,1206.0,602.0,196.0,673132.938,9371300.313,-1.863953
1234.0,1229.0,646.0,196.0,673135.591,9371316.466,-1.603953
1273.0,1273.0,577.0,179.0,673306.186,9371204.483,-1.877473
1163.0,1206.0,736.0,197.0,673276.802,9371210.475,-1.517357
1224.0,1319.0,906.0,225.0,673240.714,9371237.251,-0.807357
1263.0,1388.0,1053.0,260.0,673432.975,9371324.415,-1.047422
1101.0,1077.0,591.0,186.0,673211.943,9371193.945,-1.867191
919.0,754.0,337.0,187.0,673152.436,9371082.674,-4.017473
1263.0,1388.0,1053.0,260.0,673431.449,9371327.203,-1.087422
1086.0,1156.0,862.0,241.0,673323.092,9371414.933,-1.266161
1083.0,1174.0,903.0,269.0,673409.785,9371281.569,-0.670809
1232.0,1186.0,475.0,183.0,673149.242,9371266.172,-2.709245
1286.0,1260.0,551.0,171.0,673297.303,9371197.679,-2.217473
1256.0,1309.0,805.0,202.0,673337.398,9371227.865,-0.930809
1014.0,847.0,350.0,197.0,673006.319,9371121.849,-4.722304
976.0,1043.0,797.0,258.0,673416.52,9371293.931,-1.174126
1017.0,1021.0,627.0,197.0,673026.445,9371075.696,-1.042304
1052.0,1143.0,863.0,263.0,673406.914,9371279.489,-0.690809
1047.0,1002.0,451.0,182.0,673253.298,9371353.486,-2.656161
1059.0,1131.0,762.0,202.0,673210.318,9371259.878,-0.807357
1329.0,1491.0,1169.0,306.0,673361.619,9371319.295,-0.923955
992.0,840.0,355.0,181.0,673146.974,9371077.741,-3.807473
1057.0,994.0,456.0,176.0,673191.489,9371176.512,-2.887191
1189.0,1275.0,810.0,189.0,673225.014,9371275.674,-1.626773
994.0,882.0,495.0,187.0,673127.046,9371060.426,-1.794119
943.0,749.0,333.0,198.0,673124.334,9371177.173,-4.7836
883.0,814.0,446.0,208.0,673058.631,9371061.147,-2.887191
1264.0,1390.0,1060.0,258.0,673328.298,9371290.858,-0.683955
1108.0,1077.0,597.0,186.0,673388.281,9371435.641,-1.866161
1309.0,1457.0,1106.0,285.0,673343.222,9371302.995,-0.693955
1285.0,1350.0,863.0,192.0,673441.512,9371381.94,-0.910699
950.0,939.0,517.0,189.0,673146.576,9371191.113,-1.1636
950.0,939.0,517.0,189.0,673145.282,9371190.383,-1.2036
872.0,689.0,309.0,189.0,673093.138,9371092.018,-4.617191
942.0,753.0,321.0,184.0,673022.601,9371159.826,-6.332304
1344.0,1517.0,1181.0,279.0,673452.999,9371325.865,-0.944126
1256.0,1309.0,805.0,202.0,673335.338,9371226.272,-0.980809
1286.0,1260.0,551.0,171.0,673299.983,9371193.212,-2.337357
1302.0,1457.0,1112.0,299.0,673339.349,9371360.287,-0.723054
1303.0,1411.0,935.0,217.0,673279.923,9371307.545,-1.226773
1050.0,1089.0,806.0,223.0,673367.487,9371384.008,-0.773054
852.0,694.0,333.0,184.0,673158.013,9371124.28,-5.020534
1080.0,1053.0,502.0,186.0,673125.459,9371246.299,-2.439245
1331.0,1480.0,1124.0,281.0,673300.315,9371392.924,-0.686161
1123.0,1109.0,540.0,174.0,673186.36,9371247.868,-1.396773
1029.0,869.0,337.0,172.0,673321.347,9371147.439,-4.567357
1123.0,1109.0,540.0,174.0,673183.582,9371248.397,-1.596773
1226.0,1320.0,877.0,205.0,673262.48,9371221.095,-1.047357
862.0,797.0,482.0,190.0,673154.368,9371151.333,-1.120534
1125.0,1130.0,609.0,182.0,673154.867,9371217.967,-1.6136
974.0,938.0,533.0,191.0,673170.301,9371158.397,-1.327191
1334.0,1457.0,1056.0,236.0,673309.771,9371350.021,-0.723054
758.0,516.0,303.0,200.0,673104.848,9371039.032,-7.144119
1017.0,1021.0,627.0,197.0,673026.525,9371076.129,-1.032304
1133.0,1242.0,931.0,243.0,673426.213,9371296.994,-0.700809
979.0,817.0,337.0,182.0,673240.661,9371154.987,-4.687473
774.0,669.0,369.0,201.0,673102.73,9371057.781,-2.210746
873.0,680.0,317.0,196.0,673112.105,9371108.273,-6.507191
1355.0,1532.0,1132.0,269.0,673302.632,9371322.364,-1.076773
879.0,712.0,321.0,188.0,673132.227,9371125.972,-6.027191
